case_uid,dataset_split,dataset_index,part_size,class_name,subject,part,edit,source_prompt,target_prompt,source_path,gt_mask_path,edited_result_path,run_log_path,binary_tdm_path,soft_tdm_path,smoothed_tdm_path,delta_stack_path,metadata_path,delta_dir,has_source,has_gt_mask,has_edit_result,has_run_log,has_binary_tdm,has_soft_tdm,has_smoothed_tdm,has_delta_stack,has_metadata,num_delta_maps,image_width,image_height,raw_tdm_shape,recorded_delta_steps
real_0001,real,1,medium,animal_head,dog,head,cat,a dog running in the grass,a dog with cat head running in the grass,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0001/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0001/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0001/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0001/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0001/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0001/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0001/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0001/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0001/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0001/tdm/delta,True,True,True,True,True,True,True,True,True,15,512,512,32x32,"2,3,4,5,6,7,8"
real_0012,real,12,medium,humanoid_torso,statue,torso,uniform,a statue of an angel with wings on the ground,a statue with uniform torso of an angel with wings on the ground,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0012/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0012/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0012/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0012/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0012/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0012/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0012/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0012/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0012/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0012/tdm/delta,True,True,True,True,True,True,True,True,True,15,512,512,32x32,"2,3,4,5,6,7,8"
synth_0022,synth,22,medium,humanoid_hair,boy,hair,Kinky,A Portrait of boy at a park,A Portrait of boy with Kinky hair at a park,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/synth_0022/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/synth_0022/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0022/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0022/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0022/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0022/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0022/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0022/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0022/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0022/tdm/delta,True,True,True,True,True,True,True,True,True,15,1024,1024,64x64,"2,3,4,5,6,7,8"
synth_0014,synth,14,medium,humanoid_torso,alien,torso,robot,A alien at a gym,A alien with robot torso at a gym,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/synth_0014/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/synth_0014/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0014/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0014/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0014/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0014/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0014/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0014/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0014/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0014/tdm/delta,True,True,False,True,True,True,True,True,True,15,1024,1024,64x64,"2,3,4,5,6,7,8"
real_0000,real,0,large,humanoid_torso,robot,torso,armored,a robot standing in a warehouse with boxes,a robot with armored torso standing in a warehouse with boxes,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0000/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0000/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0000/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0000/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0000/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0000/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0000/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0000/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0000/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0000/tdm/delta,True,True,True,True,True,True,True,True,True,15,512,512,32x32,"2,3,4,5,6,7,8"
real_0011,real,11,large,human_hair,man,hair,curly_hair,a man with a smile on his face,a man with curly_hair hair with a smile on his face,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0011/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0011/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0011/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0011/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0011/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0011/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0011/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0011/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0011/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0011/tdm/delta,True,True,True,True,True,True,True,True,True,15,512,512,32x32,"2,3,4,5,6,7,8"
real_0005,real,5,large,animal_head,bear,head,dog,a brown bear standing on a rock,a brown bear with dog head standing on a rock,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0005/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0005/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0005/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0005/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0005/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0005/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0005/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0005/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0005/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0005/tdm/delta,True,True,True,True,True,True,True,True,True,15,512,512,32x32,"2,3,4,5,6,7,8"
real_0009,real,9,large,carbody,ferrari,carbody,rusted,ferrari 812 superfast by kimberly kim,ferrari with rusted carbody 812 superfast by kimberly kim,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0009/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0009/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0009/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0009/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0009/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0009/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0009/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0009/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0009/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0009/tdm/delta,True,True,True,True,True,True,True,True,True,15,512,512,32x32,"2,3,4,5,6,7,8"
synth_0053,synth,53,large,carhood,BMW,car hood,Destroyed,A full front facing view of BMW car at a parking lot,A full front facing view of BMW car with Destroyed car hood at a parking lot,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/synth_0053/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/synth_0053/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0053/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0053/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0053/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0053/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0053/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0053/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0053/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0053/tdm/delta,True,True,True,True,True,True,True,True,True,15,1024,1024,64x64,"2,3,4,5,6,7,8"
synth_0017,synth,17,large,humanoid_torso,dinosaur,torso,robotic-parts,A dinosaur at a museum,A dinosaur with robotic-parts torso at a museum,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/synth_0017/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/synth_0017/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0017/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0017/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0017/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0017/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0017/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0017/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0017/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0017/tdm/delta,True,True,True,True,True,True,True,True,True,15,1024,1024,64x64,"2,3,4,5,6,7,8"
