run_uid,case_uid,seed,dataset_split,dataset_index,part_size,part,edit,source_prompt,target_prompt,source_image,gt_mask,output_dir,log_path,config_path,attention_proxy_raw,attention_proxy_smoothed,attention_proxy_binary,model_name,guidance,num_steps,layers,front,inject,tail_pad,offload,repro_command
real_0002_seed_001,real_0002,1,real,2,small,seat,mesh,a chair and table in front of a glass door,a chair with mesh seat and table in front of a glass door,core/data/partedit_subset/cases/real_0002/source.png,core/data/partedit_subset/cases/real_0002/gt_mask.png,core/results/flux_attention_baseline/real_0002/seed_001,core/results/flux_attention_baseline/real_0002/seed_001/run.log,core/results/flux_attention_baseline/real_0002/seed_001/run_config.json,core/results/flux_attention_baseline/real_0002/seed_001/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0002/seed_001/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0002/seed_001/attention_proxy_binary.npy,flux-dev,2.0,15,"28,29,30,31,32,33,34,35,36,37",2,4,1,True,"python core/scripts/flux_attention_worker.py --case-json core/results/flux_attention_baseline/real_0002/seed_001/case_record.json --output-dir core/results/flux_attention_baseline/real_0002/seed_001 --seed 1 --name flux-dev --guidance 2.0 --num-steps 15 --layers 28,29,30,31,32,33,34,35,36,37 --front 2 --inject 4 --tail-pad 1 --offload"
real_0002_seed_002,real_0002,2,real,2,small,seat,mesh,a chair and table in front of a glass door,a chair with mesh seat and table in front of a glass door,core/data/partedit_subset/cases/real_0002/source.png,core/data/partedit_subset/cases/real_0002/gt_mask.png,core/results/flux_attention_baseline/real_0002/seed_002,core/results/flux_attention_baseline/real_0002/seed_002/run.log,core/results/flux_attention_baseline/real_0002/seed_002/run_config.json,core/results/flux_attention_baseline/real_0002/seed_002/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0002/seed_002/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0002/seed_002/attention_proxy_binary.npy,flux-dev,2.0,15,"28,29,30,31,32,33,34,35,36,37",2,4,1,True,"python core/scripts/flux_attention_worker.py --case-json core/results/flux_attention_baseline/real_0002/seed_002/case_record.json --output-dir core/results/flux_attention_baseline/real_0002/seed_002 --seed 2 --name flux-dev --guidance 2.0 --num-steps 15 --layers 28,29,30,31,32,33,34,35,36,37 --front 2 --inject 4 --tail-pad 1 --offload"
real_0010_seed_000,real_0010,0,real,10,medium,head,dragon,a cow standing on a street,a cow with dragon head standing on a street,core/data/partedit_subset/cases/real_0010/source.png,core/data/partedit_subset/cases/real_0010/gt_mask.png,core/results/flux_attention_baseline/real_0010/seed_000,core/results/flux_attention_baseline/real_0010/seed_000/run.log,core/results/flux_attention_baseline/real_0010/seed_000/run_config.json,core/results/flux_attention_baseline/real_0010/seed_000/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0010/seed_000/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0010/seed_000/attention_proxy_binary.npy,flux-dev,2.0,15,"28,29,30,31,32,33,34,35,36,37",2,4,1,True,"python core/scripts/flux_attention_worker.py --case-json core/results/flux_attention_baseline/real_0010/seed_000/case_record.json --output-dir core/results/flux_attention_baseline/real_0010/seed_000 --seed 0 --name flux-dev --guidance 2.0 --num-steps 15 --layers 28,29,30,31,32,33,34,35,36,37 --front 2 --inject 4 --tail-pad 1 --offload"
real_0010_seed_001,real_0010,1,real,10,medium,head,dragon,a cow standing on a street,a cow with dragon head standing on a street,core/data/partedit_subset/cases/real_0010/source.png,core/data/partedit_subset/cases/real_0010/gt_mask.png,core/results/flux_attention_baseline/real_0010/seed_001,core/results/flux_attention_baseline/real_0010/seed_001/run.log,core/results/flux_attention_baseline/real_0010/seed_001/run_config.json,core/results/flux_attention_baseline/real_0010/seed_001/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0010/seed_001/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0010/seed_001/attention_proxy_binary.npy,flux-dev,2.0,15,"28,29,30,31,32,33,34,35,36,37",2,4,1,True,"python core/scripts/flux_attention_worker.py --case-json core/results/flux_attention_baseline/real_0010/seed_001/case_record.json --output-dir core/results/flux_attention_baseline/real_0010/seed_001 --seed 1 --name flux-dev --guidance 2.0 --num-steps 15 --layers 28,29,30,31,32,33,34,35,36,37 --front 2 --inject 4 --tail-pad 1 --offload"
real_0010_seed_002,real_0010,2,real,10,medium,head,dragon,a cow standing on a street,a cow with dragon head standing on a street,core/data/partedit_subset/cases/real_0010/source.png,core/data/partedit_subset/cases/real_0010/gt_mask.png,core/results/flux_attention_baseline/real_0010/seed_002,core/results/flux_attention_baseline/real_0010/seed_002/run.log,core/results/flux_attention_baseline/real_0010/seed_002/run_config.json,core/results/flux_attention_baseline/real_0010/seed_002/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0010/seed_002/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0010/seed_002/attention_proxy_binary.npy,flux-dev,2.0,15,"28,29,30,31,32,33,34,35,36,37",2,4,1,True,"python core/scripts/flux_attention_worker.py --case-json core/results/flux_attention_baseline/real_0010/seed_002/case_record.json --output-dir core/results/flux_attention_baseline/real_0010/seed_002 --seed 2 --name flux-dev --guidance 2.0 --num-steps 15 --layers 28,29,30,31,32,33,34,35,36,37 --front 2 --inject 4 --tail-pad 1 --offload"
real_0004_seed_000,real_0004,0,real,4,medium,carhood,rusted,a white toyota avanza parked in front of a house,a white toyota with rusted carhood avanza parked in front of a house,core/data/partedit_subset/cases/real_0004/source.png,core/data/partedit_subset/cases/real_0004/gt_mask.png,core/results/flux_attention_baseline/real_0004/seed_000,core/results/flux_attention_baseline/real_0004/seed_000/run.log,core/results/flux_attention_baseline/real_0004/seed_000/run_config.json,core/results/flux_attention_baseline/real_0004/seed_000/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0004/seed_000/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0004/seed_000/attention_proxy_binary.npy,flux-dev,2.0,15,"28,29,30,31,32,33,34,35,36,37",2,4,1,True,"python core/scripts/flux_attention_worker.py --case-json core/results/flux_attention_baseline/real_0004/seed_000/case_record.json --output-dir core/results/flux_attention_baseline/real_0004/seed_000 --seed 0 --name flux-dev --guidance 2.0 --num-steps 15 --layers 28,29,30,31,32,33,34,35,36,37 --front 2 --inject 4 --tail-pad 1 --offload"
real_0004_seed_001,real_0004,1,real,4,medium,carhood,rusted,a white toyota avanza parked in front of a house,a white toyota with rusted carhood avanza parked in front of a house,core/data/partedit_subset/cases/real_0004/source.png,core/data/partedit_subset/cases/real_0004/gt_mask.png,core/results/flux_attention_baseline/real_0004/seed_001,core/results/flux_attention_baseline/real_0004/seed_001/run.log,core/results/flux_attention_baseline/real_0004/seed_001/run_config.json,core/results/flux_attention_baseline/real_0004/seed_001/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0004/seed_001/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0004/seed_001/attention_proxy_binary.npy,flux-dev,2.0,15,"28,29,30,31,32,33,34,35,36,37",2,4,1,True,"python core/scripts/flux_attention_worker.py --case-json core/results/flux_attention_baseline/real_0004/seed_001/case_record.json --output-dir core/results/flux_attention_baseline/real_0004/seed_001 --seed 1 --name flux-dev --guidance 2.0 --num-steps 15 --layers 28,29,30,31,32,33,34,35,36,37 --front 2 --inject 4 --tail-pad 1 --offload"
real_0004_seed_002,real_0004,2,real,4,medium,carhood,rusted,a white toyota avanza parked in front of a house,a white toyota with rusted carhood avanza parked in front of a house,core/data/partedit_subset/cases/real_0004/source.png,core/data/partedit_subset/cases/real_0004/gt_mask.png,core/results/flux_attention_baseline/real_0004/seed_002,core/results/flux_attention_baseline/real_0004/seed_002/run.log,core/results/flux_attention_baseline/real_0004/seed_002/run_config.json,core/results/flux_attention_baseline/real_0004/seed_002/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0004/seed_002/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0004/seed_002/attention_proxy_binary.npy,flux-dev,2.0,15,"28,29,30,31,32,33,34,35,36,37",2,4,1,True,"python core/scripts/flux_attention_worker.py --case-json core/results/flux_attention_baseline/real_0004/seed_002/case_record.json --output-dir core/results/flux_attention_baseline/real_0004/seed_002 --seed 2 --name flux-dev --guidance 2.0 --num-steps 15 --layers 28,29,30,31,32,33,34,35,36,37 --front 2 --inject 4 --tail-pad 1 --offload"
real_0007_seed_000,real_0007,0,real,7,medium,seat,leather,a mahogany armchair,a mahogany armchair with leather seat,core/data/partedit_subset/cases/real_0007/source.png,core/data/partedit_subset/cases/real_0007/gt_mask.png,core/results/flux_attention_baseline/real_0007/seed_000,core/results/flux_attention_baseline/real_0007/seed_000/run.log,core/results/flux_attention_baseline/real_0007/seed_000/run_config.json,core/results/flux_attention_baseline/real_0007/seed_000/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0007/seed_000/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0007/seed_000/attention_proxy_binary.npy,flux-dev,2.0,15,"28,29,30,31,32,33,34,35,36,37",2,4,1,True,"python core/scripts/flux_attention_worker.py --case-json core/results/flux_attention_baseline/real_0007/seed_000/case_record.json --output-dir core/results/flux_attention_baseline/real_0007/seed_000 --seed 0 --name flux-dev --guidance 2.0 --num-steps 15 --layers 28,29,30,31,32,33,34,35,36,37 --front 2 --inject 4 --tail-pad 1 --offload"
real_0007_seed_001,real_0007,1,real,7,medium,seat,leather,a mahogany armchair,a mahogany armchair with leather seat,core/data/partedit_subset/cases/real_0007/source.png,core/data/partedit_subset/cases/real_0007/gt_mask.png,core/results/flux_attention_baseline/real_0007/seed_001,core/results/flux_attention_baseline/real_0007/seed_001/run.log,core/results/flux_attention_baseline/real_0007/seed_001/run_config.json,core/results/flux_attention_baseline/real_0007/seed_001/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0007/seed_001/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0007/seed_001/attention_proxy_binary.npy,flux-dev,2.0,15,"28,29,30,31,32,33,34,35,36,37",2,4,1,True,"python core/scripts/flux_attention_worker.py --case-json core/results/flux_attention_baseline/real_0007/seed_001/case_record.json --output-dir core/results/flux_attention_baseline/real_0007/seed_001 --seed 1 --name flux-dev --guidance 2.0 --num-steps 15 --layers 28,29,30,31,32,33,34,35,36,37 --front 2 --inject 4 --tail-pad 1 --offload"
real_0007_seed_002,real_0007,2,real,7,medium,seat,leather,a mahogany armchair,a mahogany armchair with leather seat,core/data/partedit_subset/cases/real_0007/source.png,core/data/partedit_subset/cases/real_0007/gt_mask.png,core/results/flux_attention_baseline/real_0007/seed_002,core/results/flux_attention_baseline/real_0007/seed_002/run.log,core/results/flux_attention_baseline/real_0007/seed_002/run_config.json,core/results/flux_attention_baseline/real_0007/seed_002/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0007/seed_002/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0007/seed_002/attention_proxy_binary.npy,flux-dev,2.0,15,"28,29,30,31,32,33,34,35,36,37",2,4,1,True,"python core/scripts/flux_attention_worker.py --case-json core/results/flux_attention_baseline/real_0007/seed_002/case_record.json --output-dir core/results/flux_attention_baseline/real_0007/seed_002 --seed 2 --name flux-dev --guidance 2.0 --num-steps 15 --layers 28,29,30,31,32,33,34,35,36,37 --front 2 --inject 4 --tail-pad 1 --offload"
real_0001_seed_000,real_0001,0,real,1,medium,head,cat,a dog running in the grass,a dog with cat head running in the grass,core/data/partedit_subset/cases/real_0001/source.png,core/data/partedit_subset/cases/real_0001/gt_mask.png,core/results/flux_attention_baseline/real_0001/seed_000,core/results/flux_attention_baseline/real_0001/seed_000/run.log,core/results/flux_attention_baseline/real_0001/seed_000/run_config.json,core/results/flux_attention_baseline/real_0001/seed_000/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0001/seed_000/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0001/seed_000/attention_proxy_binary.npy,flux-dev,2.0,15,"28,29,30,31,32,33,34,35,36,37",2,4,1,True,"python core/scripts/flux_attention_worker.py --case-json core/results/flux_attention_baseline/real_0001/seed_000/case_record.json --output-dir core/results/flux_attention_baseline/real_0001/seed_000 --seed 0 --name flux-dev --guidance 2.0 --num-steps 15 --layers 28,29,30,31,32,33,34,35,36,37 --front 2 --inject 4 --tail-pad 1 --offload"
real_0001_seed_001,real_0001,1,real,1,medium,head,cat,a dog running in the grass,a dog with cat head running in the grass,core/data/partedit_subset/cases/real_0001/source.png,core/data/partedit_subset/cases/real_0001/gt_mask.png,core/results/flux_attention_baseline/real_0001/seed_001,core/results/flux_attention_baseline/real_0001/seed_001/run.log,core/results/flux_attention_baseline/real_0001/seed_001/run_config.json,core/results/flux_attention_baseline/real_0001/seed_001/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0001/seed_001/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0001/seed_001/attention_proxy_binary.npy,flux-dev,2.0,15,"28,29,30,31,32,33,34,35,36,37",2,4,1,True,"python core/scripts/flux_attention_worker.py --case-json core/results/flux_attention_baseline/real_0001/seed_001/case_record.json --output-dir core/results/flux_attention_baseline/real_0001/seed_001 --seed 1 --name flux-dev --guidance 2.0 --num-steps 15 --layers 28,29,30,31,32,33,34,35,36,37 --front 2 --inject 4 --tail-pad 1 --offload"
real_0001_seed_002,real_0001,2,real,1,medium,head,cat,a dog running in the grass,a dog with cat head running in the grass,core/data/partedit_subset/cases/real_0001/source.png,core/data/partedit_subset/cases/real_0001/gt_mask.png,core/results/flux_attention_baseline/real_0001/seed_002,core/results/flux_attention_baseline/real_0001/seed_002/run.log,core/results/flux_attention_baseline/real_0001/seed_002/run_config.json,core/results/flux_attention_baseline/real_0001/seed_002/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0001/seed_002/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0001/seed_002/attention_proxy_binary.npy,flux-dev,2.0,15,"28,29,30,31,32,33,34,35,36,37",2,4,1,True,"python core/scripts/flux_attention_worker.py --case-json core/results/flux_attention_baseline/real_0001/seed_002/case_record.json --output-dir core/results/flux_attention_baseline/real_0001/seed_002 --seed 2 --name flux-dev --guidance 2.0 --num-steps 15 --layers 28,29,30,31,32,33,34,35,36,37 --front 2 --inject 4 --tail-pad 1 --offload"
real_0000_seed_000,real_0000,0,real,0,large,torso,armored,a robot standing in a warehouse with boxes,a robot with armored torso standing in a warehouse with boxes,core/data/partedit_subset/cases/real_0000/source.png,core/data/partedit_subset/cases/real_0000/gt_mask.png,core/results/flux_attention_baseline/real_0000/seed_000,core/results/flux_attention_baseline/real_0000/seed_000/run.log,core/results/flux_attention_baseline/real_0000/seed_000/run_config.json,core/results/flux_attention_baseline/real_0000/seed_000/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0000/seed_000/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0000/seed_000/attention_proxy_binary.npy,flux-dev,2.0,15,"28,29,30,31,32,33,34,35,36,37",2,4,1,True,"python core/scripts/flux_attention_worker.py --case-json core/results/flux_attention_baseline/real_0000/seed_000/case_record.json --output-dir core/results/flux_attention_baseline/real_0000/seed_000 --seed 0 --name flux-dev --guidance 2.0 --num-steps 15 --layers 28,29,30,31,32,33,34,35,36,37 --front 2 --inject 4 --tail-pad 1 --offload"
real_0000_seed_001,real_0000,1,real,0,large,torso,armored,a robot standing in a warehouse with boxes,a robot with armored torso standing in a warehouse with boxes,core/data/partedit_subset/cases/real_0000/source.png,core/data/partedit_subset/cases/real_0000/gt_mask.png,core/results/flux_attention_baseline/real_0000/seed_001,core/results/flux_attention_baseline/real_0000/seed_001/run.log,core/results/flux_attention_baseline/real_0000/seed_001/run_config.json,core/results/flux_attention_baseline/real_0000/seed_001/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0000/seed_001/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0000/seed_001/attention_proxy_binary.npy,flux-dev,2.0,15,"28,29,30,31,32,33,34,35,36,37",2,4,1,True,"python core/scripts/flux_attention_worker.py --case-json core/results/flux_attention_baseline/real_0000/seed_001/case_record.json --output-dir core/results/flux_attention_baseline/real_0000/seed_001 --seed 1 --name flux-dev --guidance 2.0 --num-steps 15 --layers 28,29,30,31,32,33,34,35,36,37 --front 2 --inject 4 --tail-pad 1 --offload"
real_0000_seed_002,real_0000,2,real,0,large,torso,armored,a robot standing in a warehouse with boxes,a robot with armored torso standing in a warehouse with boxes,core/data/partedit_subset/cases/real_0000/source.png,core/data/partedit_subset/cases/real_0000/gt_mask.png,core/results/flux_attention_baseline/real_0000/seed_002,core/results/flux_attention_baseline/real_0000/seed_002/run.log,core/results/flux_attention_baseline/real_0000/seed_002/run_config.json,core/results/flux_attention_baseline/real_0000/seed_002/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0000/seed_002/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0000/seed_002/attention_proxy_binary.npy,flux-dev,2.0,15,"28,29,30,31,32,33,34,35,36,37",2,4,1,True,"python core/scripts/flux_attention_worker.py --case-json core/results/flux_attention_baseline/real_0000/seed_002/case_record.json --output-dir core/results/flux_attention_baseline/real_0000/seed_002 --seed 2 --name flux-dev --guidance 2.0 --num-steps 15 --layers 28,29,30,31,32,33,34,35,36,37 --front 2 --inject 4 --tail-pad 1 --offload"
