row_uid,case_uid,seed,method,part,edit,part_size,footprint_change,source_prompt,target_prompt,source_image,gt_mask,edited_image,available,reason,image_sha256
gt-diagnostic-v2::rk2_n15_gt::synth_0001::seed_000,synth_0001,0,rk2_n15_gt,head,bear,medium,comparable,A robot at a school,A robot with bear head at a school,core/data/partedit_subset/cases/synth_0001/source.png,core/data/partedit_subset/cases/synth_0001/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_n15_gt/synth_0001/seed_000/img_0.jpg,True,,ae67dadba3bfcf4d18fe76873fd32bdce10dafcb0156954c1a17ad10e04fbfec
gt-diagnostic-v2::endpoint_auto::synth_0002::seed_000,synth_0002,0,endpoint_auto,head,bear,large,comparable,A robot at a park,A robot with bear head at a park,core/data/partedit_subset/cases/synth_0002/source.png,core/data/partedit_subset/cases/synth_0002/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0002/seed_000/img_0.jpg,True,,952019ca8fcf70fb336af427582c6e025912fbbc4da35bb3caab417c05a1fd5c
gt-diagnostic-v2::endpoint_gt::synth_0002::seed_000,synth_0002,0,endpoint_gt,head,bear,large,comparable,A robot at a park,A robot with bear head at a park,core/data/partedit_subset/cases/synth_0002/source.png,core/data/partedit_subset/cases/synth_0002/gt_mask.png,core/results/gt_mask_diagnostic_v2/endpoint_gt/synth_0002/seed_000/img_0.jpg,True,,183283f149133237bca2c022f13a76f1a4ea6233958f7b123a8d82f056440bb6
gt-diagnostic-v2::rk2_auto::synth_0002::seed_000,synth_0002,0,rk2_auto,head,bear,large,comparable,A robot at a park,A robot with bear head at a park,core/data/partedit_subset/cases/synth_0002/source.png,core/data/partedit_subset/cases/synth_0002/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0002/seed_000/img_0.jpg,True,,0a5914f11a58221f18976d4aef1f08ff4439853f898665fe223b29e56d8611aa
gt-diagnostic-v2::rk2_gt::synth_0002::seed_000,synth_0002,0,rk2_gt,head,bear,large,comparable,A robot at a park,A robot with bear head at a park,core/data/partedit_subset/cases/synth_0002/source.png,core/data/partedit_subset/cases/synth_0002/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_gt/synth_0002/seed_000/img_0.jpg,True,,ced3661635c438f7d04d9c7032021be9216107fc2da86f00f3d4b65a27a72c1a
gt-diagnostic-v2::rk2_n15_auto::synth_0002::seed_000,synth_0002,0,rk2_n15_auto,head,bear,large,comparable,A robot at a park,A robot with bear head at a park,core/data/partedit_subset/cases/synth_0002/source.png,core/data/partedit_subset/cases/synth_0002/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_n15_auto/synth_0002/seed_000/img_0.jpg,True,,1a6aca998353e35d628f9b188dd13e1b1037e6b5c469a1fc527a383436538de7
gt-diagnostic-v2::rk2_n15_gt::synth_0002::seed_000,synth_0002,0,rk2_n15_gt,head,bear,large,comparable,A robot at a park,A robot with bear head at a park,core/data/partedit_subset/cases/synth_0002/source.png,core/data/partedit_subset/cases/synth_0002/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_n15_gt/synth_0002/seed_000/img_0.jpg,True,,d47ddc1805fc9d5de07d173d5cc7f4d34f7595328da2f8a453867733eb6caac6
gt-diagnostic-v2::endpoint_auto::synth_0003::seed_000,synth_0003,0,endpoint_auto,head,robot,large,comparable,A alien at a museum,A alien with robot head at a museum,core/data/partedit_subset/cases/synth_0003/source.png,core/data/partedit_subset/cases/synth_0003/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0003/seed_000/img_0.jpg,True,,99ac3d73b182b82575c629e1209170d5c46e2c41449dcaad9f3b89c27f624ff9
gt-diagnostic-v2::endpoint_gt::synth_0003::seed_000,synth_0003,0,endpoint_gt,head,robot,large,comparable,A alien at a museum,A alien with robot head at a museum,core/data/partedit_subset/cases/synth_0003/source.png,core/data/partedit_subset/cases/synth_0003/gt_mask.png,core/results/gt_mask_diagnostic_v2/endpoint_gt/synth_0003/seed_000/img_0.jpg,True,,3cfa77eaf944eb7ac4c36aece429782e487cf2e62ac20543073bec4130509d54
gt-diagnostic-v2::rk2_auto::synth_0003::seed_000,synth_0003,0,rk2_auto,head,robot,large,comparable,A alien at a museum,A alien with robot head at a museum,core/data/partedit_subset/cases/synth_0003/source.png,core/data/partedit_subset/cases/synth_0003/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0003/seed_000/img_0.jpg,True,,999d0421ce344ff80c51d126890d3fb0173bfaeaf9cbe50898101f6b53c246af
gt-diagnostic-v2::rk2_gt::synth_0003::seed_000,synth_0003,0,rk2_gt,head,robot,large,comparable,A alien at a museum,A alien with robot head at a museum,core/data/partedit_subset/cases/synth_0003/source.png,core/data/partedit_subset/cases/synth_0003/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_gt/synth_0003/seed_000/img_0.jpg,True,,1dfdf9fdc6bc3fb372907850c31971cb0e049e8859779856efb8e92e85c52cfd
gt-diagnostic-v2::rk2_n15_auto::synth_0003::seed_000,synth_0003,0,rk2_n15_auto,head,robot,large,comparable,A alien at a museum,A alien with robot head at a museum,core/data/partedit_subset/cases/synth_0003/source.png,core/data/partedit_subset/cases/synth_0003/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_n15_auto/synth_0003/seed_000/img_0.jpg,True,,ba335befcdb012b8052e03c97c8ae2025368cf03a798cfab91b005664b004804
gt-diagnostic-v2::rk2_n15_gt::synth_0003::seed_000,synth_0003,0,rk2_n15_gt,head,robot,large,comparable,A alien at a museum,A alien with robot head at a museum,core/data/partedit_subset/cases/synth_0003/source.png,core/data/partedit_subset/cases/synth_0003/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_n15_gt/synth_0003/seed_000/img_0.jpg,True,,cc6975b56baa71ade62a93d9c7097784958117328fa0744b1d19432fa2f5838f
gt-diagnostic-v2::endpoint_auto::synth_0004::seed_000,synth_0004,0,endpoint_auto,head,tattooed,medium,comparable,A robot at a office,A robot with tattooed head at a office,core/data/partedit_subset/cases/synth_0004/source.png,core/data/partedit_subset/cases/synth_0004/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0004/seed_000/img_0.jpg,True,,752f1430984b9bff42d1f0713fe0ef14d027f31fb3e26256fcca844b18084762
gt-diagnostic-v2::endpoint_gt::synth_0004::seed_000,synth_0004,0,endpoint_gt,head,tattooed,medium,comparable,A robot at a office,A robot with tattooed head at a office,core/data/partedit_subset/cases/synth_0004/source.png,core/data/partedit_subset/cases/synth_0004/gt_mask.png,core/results/gt_mask_diagnostic_v2/endpoint_gt/synth_0004/seed_000/img_0.jpg,True,,99e28ba627698acf648da399a2738894265de0fd94c222aae052e49650cc4968
gt-diagnostic-v2::rk2_auto::synth_0004::seed_000,synth_0004,0,rk2_auto,head,tattooed,medium,comparable,A robot at a office,A robot with tattooed head at a office,core/data/partedit_subset/cases/synth_0004/source.png,core/data/partedit_subset/cases/synth_0004/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0004/seed_000/img_0.jpg,True,,4bd02813acd1822079dd25fbbbb9ca759179b0400ac8c2edd4bbb6d8d3f76f64
gt-diagnostic-v2::rk2_gt::synth_0004::seed_000,synth_0004,0,rk2_gt,head,tattooed,medium,comparable,A robot at a office,A robot with tattooed head at a office,core/data/partedit_subset/cases/synth_0004/source.png,core/data/partedit_subset/cases/synth_0004/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_gt/synth_0004/seed_000/img_0.jpg,True,,1b2332528e2c0fe1864b225d5845bd6a2f16e97f0affa5580afe08b4f5195d4d
gt-diagnostic-v2::rk2_n15_auto::synth_0004::seed_000,synth_0004,0,rk2_n15_auto,head,tattooed,medium,comparable,A robot at a office,A robot with tattooed head at a office,core/data/partedit_subset/cases/synth_0004/source.png,core/data/partedit_subset/cases/synth_0004/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_n15_auto/synth_0004/seed_000/img_0.jpg,True,,14cb14a4f0b4b0b424f217dad07b297e833aa1fce25dd3460b612b114bba2048
gt-diagnostic-v2::rk2_n15_gt::synth_0004::seed_000,synth_0004,0,rk2_n15_gt,head,tattooed,medium,comparable,A robot at a office,A robot with tattooed head at a office,core/data/partedit_subset/cases/synth_0004/source.png,core/data/partedit_subset/cases/synth_0004/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_n15_gt/synth_0004/seed_000/img_0.jpg,True,,4991c8cd9fdd6f528bce62b629a1bd722ad62226754bb3bccc500ae099614311
gt-diagnostic-v2::endpoint_auto::synth_0005::seed_000,synth_0005,0,endpoint_auto,head,robot,medium,comparable,A man at a gym,A man with robot head at a gym,core/data/partedit_subset/cases/synth_0005/source.png,core/data/partedit_subset/cases/synth_0005/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0005/seed_000/img_0.jpg,True,,4a7daad6bedd9370bda3701ca476fc13adac4655c1d8f57b9145d957f4e501c9
gt-diagnostic-v2::endpoint_gt::synth_0005::seed_000,synth_0005,0,endpoint_gt,head,robot,medium,comparable,A man at a gym,A man with robot head at a gym,core/data/partedit_subset/cases/synth_0005/source.png,core/data/partedit_subset/cases/synth_0005/gt_mask.png,core/results/gt_mask_diagnostic_v2/endpoint_gt/synth_0005/seed_000/img_0.jpg,True,,cf6cffb16b6f4d7d4b76f5eadcd192f6b69c0086dab8cbc7e0fb439d1d496a24
gt-diagnostic-v2::rk2_auto::synth_0005::seed_000,synth_0005,0,rk2_auto,head,robot,medium,comparable,A man at a gym,A man with robot head at a gym,core/data/partedit_subset/cases/synth_0005/source.png,core/data/partedit_subset/cases/synth_0005/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0005/seed_000/img_0.jpg,True,,9773da4b12be4f7501b53c722808efc5e0c1e4533c9ee29ffd31b39810493129
gt-diagnostic-v2::rk2_gt::synth_0005::seed_000,synth_0005,0,rk2_gt,head,robot,medium,comparable,A man at a gym,A man with robot head at a gym,core/data/partedit_subset/cases/synth_0005/source.png,core/data/partedit_subset/cases/synth_0005/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_gt/synth_0005/seed_000/img_0.jpg,True,,b7c9e48a575b635ae3b3a6d233922e9e2f1357f138d2aa69c9983933c99e81de
gt-diagnostic-v2::rk2_n15_auto::synth_0005::seed_000,synth_0005,0,rk2_n15_auto,head,robot,medium,comparable,A man at a gym,A man with robot head at a gym,core/data/partedit_subset/cases/synth_0005/source.png,core/data/partedit_subset/cases/synth_0005/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_n15_auto/synth_0005/seed_000/img_0.jpg,True,,090e1dd3ff3e90a9e01e9b2daab129955bd02fdee19c37519de15c71d8b91276
gt-diagnostic-v2::rk2_n15_gt::synth_0005::seed_000,synth_0005,0,rk2_n15_gt,head,robot,medium,comparable,A man at a gym,A man with robot head at a gym,core/data/partedit_subset/cases/synth_0005/source.png,core/data/partedit_subset/cases/synth_0005/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_n15_gt/synth_0005/seed_000/img_0.jpg,True,,725623bb1bba8b0324aee664b633f09631007041fbf9e338650eb4a1140532b3
gt-diagnostic-v2::endpoint_auto::synth_0006::seed_000,synth_0006,0,endpoint_auto,head,robot,small,comparable,A girl at a beach,A girl with robot head at a beach,core/data/partedit_subset/cases/synth_0006/source.png,core/data/partedit_subset/cases/synth_0006/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0006/seed_000/img_0.jpg,True,,b6540f99f5ee075189fef1c2a2a1ce48f18f88297a8b4e0a8b9bc3c0d1cb38a6
gt-diagnostic-v2::endpoint_gt::synth_0006::seed_000,synth_0006,0,endpoint_gt,head,robot,small,comparable,A girl at a beach,A girl with robot head at a beach,core/data/partedit_subset/cases/synth_0006/source.png,core/data/partedit_subset/cases/synth_0006/gt_mask.png,core/results/gt_mask_diagnostic_v2/endpoint_gt/synth_0006/seed_000/img_0.jpg,True,,0bcfefc0138f2334e849db3646f14c8a3dc9f6dd2e94ace9f5ffc22d6fe43d53
gt-diagnostic-v2::rk2_auto::synth_0006::seed_000,synth_0006,0,rk2_auto,head,robot,small,comparable,A girl at a beach,A girl with robot head at a beach,core/data/partedit_subset/cases/synth_0006/source.png,core/data/partedit_subset/cases/synth_0006/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0006/seed_000/img_0.jpg,True,,3b5583243790aea9672d31176502dd4618c30f9d5042e4d91ee8c9e2f8f02128
gt-diagnostic-v2::rk2_gt::synth_0006::seed_000,synth_0006,0,rk2_gt,head,robot,small,comparable,A girl at a beach,A girl with robot head at a beach,core/data/partedit_subset/cases/synth_0006/source.png,core/data/partedit_subset/cases/synth_0006/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_gt/synth_0006/seed_000/img_0.jpg,True,,3320280fa57b6f227c82b03e6897d684e825a4489a75c4686c84d64d2be11e11
gt-diagnostic-v2::rk2_n15_auto::synth_0006::seed_000,synth_0006,0,rk2_n15_auto,head,robot,small,comparable,A girl at a beach,A girl with robot head at a beach,core/data/partedit_subset/cases/synth_0006/source.png,core/data/partedit_subset/cases/synth_0006/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_n15_auto/synth_0006/seed_000/img_0.jpg,True,,a7503c02983087248e3807eca1b2c08f0a23e0a2547a85bf843a7f500b5ebfe2
gt-diagnostic-v2::rk2_n15_gt::synth_0006::seed_000,synth_0006,0,rk2_n15_gt,head,robot,small,comparable,A girl at a beach,A girl with robot head at a beach,core/data/partedit_subset/cases/synth_0006/source.png,core/data/partedit_subset/cases/synth_0006/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_n15_gt/synth_0006/seed_000/img_0.jpg,True,,343ab356bc8f6f05987be83dcf1651c16d04427f2fcf497a37091b25fa467143
gt-diagnostic-v2::endpoint_auto::synth_0007::seed_000,synth_0007,0,endpoint_auto,head,robot,medium,comparable,A alien at a school,A alien with robot head at a school,core/data/partedit_subset/cases/synth_0007/source.png,core/data/partedit_subset/cases/synth_0007/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0007/seed_000/img_0.jpg,True,,8b5a06981164a8931965ff2179f6d5eb3cc474e186f8eda023de75b1db0bad8c
gt-diagnostic-v2::endpoint_gt::synth_0007::seed_000,synth_0007,0,endpoint_gt,head,robot,medium,comparable,A alien at a school,A alien with robot head at a school,core/data/partedit_subset/cases/synth_0007/source.png,core/data/partedit_subset/cases/synth_0007/gt_mask.png,core/results/gt_mask_diagnostic_v2/endpoint_gt/synth_0007/seed_000/img_0.jpg,True,,808d119895288705d38394eaded8b18563b045e95e57da637ba012652953a1c8
gt-diagnostic-v2::rk2_auto::synth_0007::seed_000,synth_0007,0,rk2_auto,head,robot,medium,comparable,A alien at a school,A alien with robot head at a school,core/data/partedit_subset/cases/synth_0007/source.png,core/data/partedit_subset/cases/synth_0007/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0007/seed_000/img_0.jpg,True,,8b193a11c8ada8bbb9b2e3a690277e48a278b3287bd53c2beadd31b41ee0da6c
gt-diagnostic-v2::rk2_gt::synth_0007::seed_000,synth_0007,0,rk2_gt,head,robot,medium,comparable,A alien at a school,A alien with robot head at a school,core/data/partedit_subset/cases/synth_0007/source.png,core/data/partedit_subset/cases/synth_0007/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_gt/synth_0007/seed_000/img_0.jpg,True,,53ceec04f120ce567f27569fd1c9566824f8bcaef64f6392bc89d4cf22f7f15b
gt-diagnostic-v2::rk2_n15_auto::synth_0007::seed_000,synth_0007,0,rk2_n15_auto,head,robot,medium,comparable,A alien at a school,A alien with robot head at a school,core/data/partedit_subset/cases/synth_0007/source.png,core/data/partedit_subset/cases/synth_0007/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_n15_auto/synth_0007/seed_000/img_0.jpg,True,,32f9366e6eecf041ef6030db3e81bef12858ad2c0466222cfff59423c23403be
gt-diagnostic-v2::rk2_n15_gt::synth_0007::seed_000,synth_0007,0,rk2_n15_gt,head,robot,medium,comparable,A alien at a school,A alien with robot head at a school,core/data/partedit_subset/cases/synth_0007/source.png,core/data/partedit_subset/cases/synth_0007/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_n15_gt/synth_0007/seed_000/img_0.jpg,True,,347eb8236301f57f7e462dbbf7e6b49bec5db08bb2bc3fc737a585df9f7ada6a
gt-diagnostic-v2::endpoint_auto::synth_0008::seed_000,synth_0008,0,endpoint_auto,head,alien,small,comparable,A robot at a park,A robot with alien head at a park,core/data/partedit_subset/cases/synth_0008/source.png,core/data/partedit_subset/cases/synth_0008/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0008/seed_000/img_0.jpg,True,,ac99bb329aae4de3575cf04b80000ffadbc44decf46ede5adb30e675d655b5ed
gt-diagnostic-v2::endpoint_gt::synth_0008::seed_000,synth_0008,0,endpoint_gt,head,alien,small,comparable,A robot at a park,A robot with alien head at a park,core/data/partedit_subset/cases/synth_0008/source.png,core/data/partedit_subset/cases/synth_0008/gt_mask.png,core/results/gt_mask_diagnostic_v2/endpoint_gt/synth_0008/seed_000/img_0.jpg,True,,55c7c9b8c311bdbcb339a9ee39a3499321961f1dc05e2278b449b98d2e6b5ce0
gt-diagnostic-v2::rk2_auto::synth_0008::seed_000,synth_0008,0,rk2_auto,head,alien,small,comparable,A robot at a park,A robot with alien head at a park,core/data/partedit_subset/cases/synth_0008/source.png,core/data/partedit_subset/cases/synth_0008/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0008/seed_000/img_0.jpg,True,,4918508292a9b271e10510968bf7e4af3adf654002cf4596e80c4b1c5cbaa5a4
gt-diagnostic-v2::rk2_gt::synth_0008::seed_000,synth_0008,0,rk2_gt,head,alien,small,comparable,A robot at a park,A robot with alien head at a park,core/data/partedit_subset/cases/synth_0008/source.png,core/data/partedit_subset/cases/synth_0008/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_gt/synth_0008/seed_000/img_0.jpg,True,,0494021cb56bfa3d993e26c7ba1ba76765994a8f9290d5516837fdfd2de408ff
gt-diagnostic-v2::rk2_n15_auto::synth_0008::seed_000,synth_0008,0,rk2_n15_auto,head,alien,small,comparable,A robot at a park,A robot with alien head at a park,core/data/partedit_subset/cases/synth_0008/source.png,core/data/partedit_subset/cases/synth_0008/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_n15_auto/synth_0008/seed_000/img_0.jpg,True,,68baca8a3445c731a659b26cd3c005cdda5835ecc381b1e88f9c9e50ebbeafbe
gt-diagnostic-v2::rk2_n15_gt::synth_0008::seed_000,synth_0008,0,rk2_n15_gt,head,alien,small,comparable,A robot at a park,A robot with alien head at a park,core/data/partedit_subset/cases/synth_0008/source.png,core/data/partedit_subset/cases/synth_0008/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_n15_gt/synth_0008/seed_000/img_0.jpg,True,,60193f9d7b54ee9bf5e2c5641f606932eab2f76fe3fd9af6684a520c294fcfa6
gt-diagnostic-v2::endpoint_auto::synth_0009::seed_000,synth_0009,0,endpoint_auto,head,bear,large,comparable,A alien at a museum,A alien with bear head at a museum,core/data/partedit_subset/cases/synth_0009/source.png,core/data/partedit_subset/cases/synth_0009/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0009/seed_000/img_0.jpg,True,,8b77b1791bb16922f747d5c00e9e0bddadc89d19d4c2368687f04a6adea2c987
gt-diagnostic-v2::endpoint_gt::synth_0009::seed_000,synth_0009,0,endpoint_gt,head,bear,large,comparable,A alien at a museum,A alien with bear head at a museum,core/data/partedit_subset/cases/synth_0009/source.png,core/data/partedit_subset/cases/synth_0009/gt_mask.png,core/results/gt_mask_diagnostic_v2/endpoint_gt/synth_0009/seed_000/img_0.jpg,True,,f371a25cd6f885274a9ff61cde1b1c9c7b5d403c5e2ab733a71eeb35c3f1b791
gt-diagnostic-v2::rk2_auto::synth_0009::seed_000,synth_0009,0,rk2_auto,head,bear,large,comparable,A alien at a museum,A alien with bear head at a museum,core/data/partedit_subset/cases/synth_0009/source.png,core/data/partedit_subset/cases/synth_0009/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0009/seed_000/img_0.jpg,True,,c0124be4f5c8ec1eee1e3a36d559bccaf7d8f1ee2788218ed90c47607a2a3b8b
gt-diagnostic-v2::rk2_gt::synth_0009::seed_000,synth_0009,0,rk2_gt,head,bear,large,comparable,A alien at a museum,A alien with bear head at a museum,core/data/partedit_subset/cases/synth_0009/source.png,core/data/partedit_subset/cases/synth_0009/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_gt/synth_0009/seed_000/img_0.jpg,True,,7f434a72a6a842138c254495675c5db78d21f4d4e2c4cf64c728934c0715c510
gt-diagnostic-v2::rk2_n15_auto::synth_0009::seed_000,synth_0009,0,rk2_n15_auto,head,bear,large,comparable,A alien at a museum,A alien with bear head at a museum,core/data/partedit_subset/cases/synth_0009/source.png,core/data/partedit_subset/cases/synth_0009/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_n15_auto/synth_0009/seed_000/img_0.jpg,True,,507abcb1080e7f50dd3e535f5e4f8edf30370ee7ad8d2a2c2f0b3bb9a61350f6
gt-diagnostic-v2::rk2_n15_gt::synth_0009::seed_000,synth_0009,0,rk2_n15_gt,head,bear,large,comparable,A alien at a museum,A alien with bear head at a museum,core/data/partedit_subset/cases/synth_0009/source.png,core/data/partedit_subset/cases/synth_0009/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_n15_gt/synth_0009/seed_000/img_0.jpg,True,,011c107c10c2e426df980c0ab7a6f99617ee60137af1f4ffee9b082e5d6856c6
gt-diagnostic-v2::endpoint_auto::synth_0010::seed_000,synth_0010,0,endpoint_auto,torso,batman,medium,comparable,A robot at a school,A robot with batman torso at a school,core/data/partedit_subset/cases/synth_0010/source.png,core/data/partedit_subset/cases/synth_0010/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0010/seed_000/img_0.jpg,True,,b8e0004cbb22e3d60c3f48f59081db21235d43015203bd8826b79bfc7149399f
gt-diagnostic-v2::endpoint_gt::synth_0010::seed_000,synth_0010,0,endpoint_gt,torso,batman,medium,comparable,A robot at a school,A robot with batman torso at a school,core/data/partedit_subset/cases/synth_0010/source.png,core/data/partedit_subset/cases/synth_0010/gt_mask.png,core/results/gt_mask_diagnostic_v2/endpoint_gt/synth_0010/seed_000/img_0.jpg,True,,0349c559fa63b5bf40306d65ea0ed8782e3ce2ce06d55037cfffd2ed7b4f391a
