run_uid,case_uid,seed,part_size,part,edit,source_prompt,target_prompt,source_image,gt_mask,fys_image,binary_tdm_path,smoothed_tdm_path,binary_iou,soft_ap,pred_to_gt_area_ratio,outside_mask_psnr,outside_mask_global_ssim,outside_mask_lpips,local_edit_success_0_2,outside_preservation_0_2,failure_category,notes
real_0002_seed_001,real_0002,1,small,seat,mesh,a chair and table in front of a glass door,a chair with mesh seat and table in front of a glass door,core/data/partedit_subset/cases/real_0002/source.png,core/data/partedit_subset/cases/real_0002/gt_mask.png,core/results/follow_your_shape/real_0002/seed_001/img_0.jpg,core/results/follow_your_shape/real_0002/seed_001/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0002/seed_001/tdm/smoothed_soft_tdm.npy,0.05004011704738531,0.05186901944065934,10.349700293329933,21.723971105006193,0.9641039967536926,0.142717495560646,1,2,,
real_0002_seed_002,real_0002,2,small,seat,mesh,a chair and table in front of a glass door,a chair with mesh seat and table in front of a glass door,core/data/partedit_subset/cases/real_0002/source.png,core/data/partedit_subset/cases/real_0002/gt_mask.png,core/results/follow_your_shape/real_0002/seed_002/img_0.jpg,core/results/follow_your_shape/real_0002/seed_002/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0002/seed_002/tdm/smoothed_soft_tdm.npy,0.05004011704738531,0.05186901944065934,10.349700293329933,21.723971105006193,0.9641039967536926,0.142717495560646,1,2,,
real_0010_seed_000,real_0010,0,medium,head,dragon,a cow standing on a street,a cow with dragon head standing on a street,core/data/partedit_subset/cases/real_0010/source.png,core/data/partedit_subset/cases/real_0010/gt_mask.png,core/results/follow_your_shape/real_0010/seed_000/img_0.jpg,core/results/follow_your_shape/real_0010/seed_000/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0010/seed_000/tdm/smoothed_soft_tdm.npy,0.09863893561706683,0.08506018544988608,8.16326530612245,19.249587382835568,0.9221071600914001,0.2540944516658783,0,0,change cow's posture,
real_0010_seed_001,real_0010,1,medium,head,dragon,a cow standing on a street,a cow with dragon head standing on a street,core/data/partedit_subset/cases/real_0010/source.png,core/data/partedit_subset/cases/real_0010/gt_mask.png,core/results/follow_your_shape/real_0010/seed_001/img_0.jpg,core/results/follow_your_shape/real_0010/seed_001/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0010/seed_001/tdm/smoothed_soft_tdm.npy,0.09863893561706683,0.08506018544988608,8.16326530612245,19.249587382835568,0.9221071600914001,0.2540944516658783,0,0,change cow's posture,
real_0010_seed_002,real_0010,2,medium,head,dragon,a cow standing on a street,a cow with dragon head standing on a street,core/data/partedit_subset/cases/real_0010/source.png,core/data/partedit_subset/cases/real_0010/gt_mask.png,core/results/follow_your_shape/real_0010/seed_002/img_0.jpg,core/results/follow_your_shape/real_0010/seed_002/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0010/seed_002/tdm/smoothed_soft_tdm.npy,0.09863893561706683,0.08506018544988608,8.16326530612245,19.249587382835568,0.9221071600914001,0.2540944516658783,0,0,change cow's posture,
real_0004_seed_000,real_0004,0,medium,carhood,rusted,a white toyota avanza parked in front of a house,a white toyota with rusted carhood avanza parked in front of a house,core/data/partedit_subset/cases/real_0004/source.png,core/data/partedit_subset/cases/real_0004/gt_mask.png,core/results/follow_your_shape/real_0004/seed_000/img_0.jpg,core/results/follow_your_shape/real_0004/seed_000/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0004/seed_000/tdm/smoothed_soft_tdm.npy,0.15600722673893405,0.26568875195865804,6.283437677859989,18.020972308331608,0.8721892833709717,0.1848680078983307,0,2,did not change car hood,
real_0004_seed_001,real_0004,1,medium,carhood,rusted,a white toyota avanza parked in front of a house,a white toyota with rusted carhood avanza parked in front of a house,core/data/partedit_subset/cases/real_0004/source.png,core/data/partedit_subset/cases/real_0004/gt_mask.png,core/results/follow_your_shape/real_0004/seed_001/img_0.jpg,core/results/follow_your_shape/real_0004/seed_001/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0004/seed_001/tdm/smoothed_soft_tdm.npy,0.15600722673893405,0.26568875195865804,6.283437677859989,18.020972308331608,0.8721892833709717,0.1848680078983307,0,2,did not change car hood,
real_0004_seed_002,real_0004,2,medium,carhood,rusted,a white toyota avanza parked in front of a house,a white toyota with rusted carhood avanza parked in front of a house,core/data/partedit_subset/cases/real_0004/source.png,core/data/partedit_subset/cases/real_0004/gt_mask.png,core/results/follow_your_shape/real_0004/seed_002/img_0.jpg,core/results/follow_your_shape/real_0004/seed_002/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0004/seed_002/tdm/smoothed_soft_tdm.npy,0.15600722673893405,0.26568875195865804,6.283437677859989,18.020972308331608,0.8721892833709717,0.1848680078983307,0,2,did not change car hood,
real_0007_seed_000,real_0007,0,medium,seat,leather,a mahogany armchair,a mahogany armchair with leather seat,core/data/partedit_subset/cases/real_0007/source.png,core/data/partedit_subset/cases/real_0007/gt_mask.png,core/results/follow_your_shape/real_0007/seed_000/img_0.jpg,core/results/follow_your_shape/real_0007/seed_000/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0007/seed_000/tdm/smoothed_soft_tdm.npy,0.1261694319532744,0.13504982894540216,3.532871012482663,21.396551439665398,0.9404739141464233,0.1363439708948135,2,2,,
real_0007_seed_001,real_0007,1,medium,seat,leather,a mahogany armchair,a mahogany armchair with leather seat,core/data/partedit_subset/cases/real_0007/source.png,core/data/partedit_subset/cases/real_0007/gt_mask.png,core/results/follow_your_shape/real_0007/seed_001/img_0.jpg,core/results/follow_your_shape/real_0007/seed_001/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0007/seed_001/tdm/smoothed_soft_tdm.npy,0.1261694319532744,0.13504982894540216,3.532871012482663,21.396551439665398,0.9404739141464233,0.1363439708948135,2,2,,
real_0007_seed_002,real_0007,2,medium,seat,leather,a mahogany armchair,a mahogany armchair with leather seat,core/data/partedit_subset/cases/real_0007/source.png,core/data/partedit_subset/cases/real_0007/gt_mask.png,core/results/follow_your_shape/real_0007/seed_002/img_0.jpg,core/results/follow_your_shape/real_0007/seed_002/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0007/seed_002/tdm/smoothed_soft_tdm.npy,0.1261694319532744,0.13504982894540216,3.532871012482663,21.396551439665398,0.9404739141464233,0.1363439708948135,2,2,,
real_0001_seed_000,real_0001,0,medium,head,cat,a dog running in the grass,a dog with cat head running in the grass,core/data/partedit_subset/cases/real_0001/source.png,core/data/partedit_subset/cases/real_0001/gt_mask.png,core/results/follow_your_shape/real_0001/seed_000/img_0.jpg,core/results/follow_your_shape/real_0001/seed_000/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0001/seed_000/tdm/smoothed_soft_tdm.npy,0.26432671324567675,0.41423109214448334,3.6181927791546653,21.50133509731843,0.8745523691177368,0.207192987203598,2,1,change dog's posture,
real_0001_seed_001,real_0001,1,medium,head,cat,a dog running in the grass,a dog with cat head running in the grass,core/data/partedit_subset/cases/real_0001/source.png,core/data/partedit_subset/cases/real_0001/gt_mask.png,core/results/follow_your_shape/real_0001/seed_001/img_0.jpg,core/results/follow_your_shape/real_0001/seed_001/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0001/seed_001/tdm/smoothed_soft_tdm.npy,0.26432671324567675,0.41423109214448334,3.6181927791546653,21.50133509731843,0.8745523691177368,0.207192987203598,2,1,change dog's posture,
real_0001_seed_002,real_0001,2,medium,head,cat,a dog running in the grass,a dog with cat head running in the grass,core/data/partedit_subset/cases/real_0001/source.png,core/data/partedit_subset/cases/real_0001/gt_mask.png,core/results/follow_your_shape/real_0001/seed_002/img_0.jpg,core/results/follow_your_shape/real_0001/seed_002/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0001/seed_002/tdm/smoothed_soft_tdm.npy,0.26432671324567675,0.41423109214448334,3.6181927791546653,21.50133509731843,0.8745523691177368,0.207192987203598,2,1,change dog's posture,
real_0000_seed_000,real_0000,0,large,torso,armored,a robot standing in a warehouse with boxes,a robot with armored torso standing in a warehouse with boxes,core/data/partedit_subset/cases/real_0000/source.png,core/data/partedit_subset/cases/real_0000/gt_mask.png,core/results/follow_your_shape/real_0000/seed_000/img_0.jpg,core/results/follow_your_shape/real_0000/seed_000/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0000/seed_000/tdm/smoothed_soft_tdm.npy,0.21951808625753594,0.2359427879911775,4.29800629590766,19.77417873851882,0.8839640021324158,0.2096026241779327,2,0,change dog's head and limbs,
real_0000_seed_001,real_0000,1,large,torso,armored,a robot standing in a warehouse with boxes,a robot with armored torso standing in a warehouse with boxes,core/data/partedit_subset/cases/real_0000/source.png,core/data/partedit_subset/cases/real_0000/gt_mask.png,core/results/follow_your_shape/real_0000/seed_001/img_0.jpg,core/results/follow_your_shape/real_0000/seed_001/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0000/seed_001/tdm/smoothed_soft_tdm.npy,0.21951808625753594,0.2359427879911775,4.29800629590766,19.77417873851882,0.8839640021324158,0.2096026241779327,2,0,change dog's head and limbs,
real_0000_seed_002,real_0000,2,large,torso,armored,a robot standing in a warehouse with boxes,a robot with armored torso standing in a warehouse with boxes,core/data/partedit_subset/cases/real_0000/source.png,core/data/partedit_subset/cases/real_0000/gt_mask.png,core/results/follow_your_shape/real_0000/seed_002/img_0.jpg,core/results/follow_your_shape/real_0000/seed_002/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0000/seed_002/tdm/smoothed_soft_tdm.npy,0.21951808625753594,0.2359427879911775,4.29800629590766,19.77417873851882,0.8839640021324158,0.2096026241779327,2,0,change dog's head and limbs,
real_0011_seed_000,real_0011,0,large,hair,curly_hair,a man with a smile on his face,a man with curly_hair hair with a smile on his face,core/data/partedit_subset/cases/real_0011/source.png,core/data/partedit_subset/cases/real_0011/gt_mask.png,core/results/follow_your_shape/real_0011/seed_000/img_0.jpg,core/results/follow_your_shape/real_0011/seed_000/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0011/seed_000/tdm/smoothed_soft_tdm.npy,0.16308225852240033,0.20091237046233784,4.972734436564224,21.43226711204498,0.9498619437217712,0.1913739591836929,2,1,change man's face,
real_0011_seed_001,real_0011,1,large,hair,curly_hair,a man with a smile on his face,a man with curly_hair hair with a smile on his face,core/data/partedit_subset/cases/real_0011/source.png,core/data/partedit_subset/cases/real_0011/gt_mask.png,core/results/follow_your_shape/real_0011/seed_001/img_0.jpg,core/results/follow_your_shape/real_0011/seed_001/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0011/seed_001/tdm/smoothed_soft_tdm.npy,0.16308225852240033,0.20091237046233784,4.972734436564224,21.43226711204498,0.9498619437217712,0.1913739591836929,2,1,change man's face,
real_0011_seed_002,real_0011,2,large,hair,curly_hair,a man with a smile on his face,a man with curly_hair hair with a smile on his face,core/data/partedit_subset/cases/real_0011/source.png,core/data/partedit_subset/cases/real_0011/gt_mask.png,core/results/follow_your_shape/real_0011/seed_002/img_0.jpg,core/results/follow_your_shape/real_0011/seed_002/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0011/seed_002/tdm/smoothed_soft_tdm.npy,0.16308225852240033,0.20091237046233784,4.972734436564224,21.43226711204498,0.9498619437217712,0.1913739591836929,2,1,change man's face,
real_0005_seed_000,real_0005,0,large,head,dog,a brown bear standing on a rock,a brown bear with dog head standing on a rock,core/data/partedit_subset/cases/real_0005/source.png,core/data/partedit_subset/cases/real_0005/gt_mask.png,core/results/follow_your_shape/real_0005/seed_000/img_0.jpg,core/results/follow_your_shape/real_0005/seed_000/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0005/seed_000/tdm/smoothed_soft_tdm.npy,0.34162136818508154,0.3962989254130638,2.517613614536514,20.348834093411966,0.9145687818527222,0.1863462626934051,0,1,did not change bear's head,
real_0005_seed_001,real_0005,1,large,head,dog,a brown bear standing on a rock,a brown bear with dog head standing on a rock,core/data/partedit_subset/cases/real_0005/source.png,core/data/partedit_subset/cases/real_0005/gt_mask.png,core/results/follow_your_shape/real_0005/seed_001/img_0.jpg,core/results/follow_your_shape/real_0005/seed_001/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0005/seed_001/tdm/smoothed_soft_tdm.npy,0.34162136818508154,0.3962989254130638,2.517613614536514,20.348834093411966,0.9145687818527222,0.1863462626934051,0,1,did not change bear's head,
real_0005_seed_002,real_0005,2,large,head,dog,a brown bear standing on a rock,a brown bear with dog head standing on a rock,core/data/partedit_subset/cases/real_0005/source.png,core/data/partedit_subset/cases/real_0005/gt_mask.png,core/results/follow_your_shape/real_0005/seed_002/img_0.jpg,core/results/follow_your_shape/real_0005/seed_002/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0005/seed_002/tdm/smoothed_soft_tdm.npy,0.34162136818508154,0.3962989254130638,2.517613614536514,20.348834093411966,0.9145687818527222,0.1863462626934051,0,1,did not change bear's head,
real_0009_seed_000,real_0009,0,large,carbody,rusted,ferrari 812 superfast by kimberly kim,ferrari with rusted carbody 812 superfast by kimberly kim,core/data/partedit_subset/cases/real_0009/source.png,core/data/partedit_subset/cases/real_0009/gt_mask.png,core/results/follow_your_shape/real_0009/seed_000/img_0.jpg,core/results/follow_your_shape/real_0009/seed_000/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0009/seed_000/tdm/smoothed_soft_tdm.npy,0.5083119151179649,0.6516052733499355,0.9800049744249673,23.104262924085013,0.9597668647766113,0.1498986184597015,1,1,did not change car,
real_0009_seed_001,real_0009,1,large,carbody,rusted,ferrari 812 superfast by kimberly kim,ferrari with rusted carbody 812 superfast by kimberly kim,core/data/partedit_subset/cases/real_0009/source.png,core/data/partedit_subset/cases/real_0009/gt_mask.png,core/results/follow_your_shape/real_0009/seed_001/img_0.jpg,core/results/follow_your_shape/real_0009/seed_001/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0009/seed_001/tdm/smoothed_soft_tdm.npy,0.5083119151179649,0.6516052733499355,0.9800049744249673,23.104262924085013,0.9597668647766113,0.1498986184597015,1,1,did not change car,
real_0009_seed_002,real_0009,2,large,carbody,rusted,ferrari 812 superfast by kimberly kim,ferrari with rusted carbody 812 superfast by kimberly kim,core/data/partedit_subset/cases/real_0009/source.png,core/data/partedit_subset/cases/real_0009/gt_mask.png,core/results/follow_your_shape/real_0009/seed_002/img_0.jpg,core/results/follow_your_shape/real_0009/seed_002/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0009/seed_002/tdm/smoothed_soft_tdm.npy,0.5083119151179649,0.6516052733499355,0.9800049744249673,23.104262924085013,0.9597668647766113,0.1498986184597015,1,1,did not change car,
