row_uid,case_uid,seed,method,part,edit,part_size,footprint_change,source_prompt,target_prompt,source_image,gt_mask,edited_image
gt-diagnostic-v1::rk2_gt::synth_0006::seed_000,synth_0006,0,rk2_gt,head,robot,small,comparable,A girl at a beach,A girl with robot head at a beach,core/data/partedit_subset/cases/synth_0006/source.png,core/data/partedit_subset/cases/synth_0006/gt_mask.png,core/results/gt_mask_diagnostic_v1/rk2_gt/synth_0006/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_auto::synth_0007::seed_000,synth_0007,0,endpoint_auto,head,robot,medium,comparable,A alien at a school,A alien with robot head at a school,core/data/partedit_subset/cases/synth_0007/source.png,core/data/partedit_subset/cases/synth_0007/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0007/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_gt::synth_0007::seed_000,synth_0007,0,endpoint_gt,head,robot,medium,comparable,A alien at a school,A alien with robot head at a school,core/data/partedit_subset/cases/synth_0007/source.png,core/data/partedit_subset/cases/synth_0007/gt_mask.png,core/results/gt_mask_diagnostic_v1/endpoint_gt/synth_0007/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_auto::synth_0007::seed_000,synth_0007,0,rk2_auto,head,robot,medium,comparable,A alien at a school,A alien with robot head at a school,core/data/partedit_subset/cases/synth_0007/source.png,core/data/partedit_subset/cases/synth_0007/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0007/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_gt::synth_0007::seed_000,synth_0007,0,rk2_gt,head,robot,medium,comparable,A alien at a school,A alien with robot head at a school,core/data/partedit_subset/cases/synth_0007/source.png,core/data/partedit_subset/cases/synth_0007/gt_mask.png,core/results/gt_mask_diagnostic_v1/rk2_gt/synth_0007/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_auto::synth_0008::seed_000,synth_0008,0,endpoint_auto,head,alien,small,comparable,A robot at a park,A robot with alien head at a park,core/data/partedit_subset/cases/synth_0008/source.png,core/data/partedit_subset/cases/synth_0008/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0008/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_gt::synth_0008::seed_000,synth_0008,0,endpoint_gt,head,alien,small,comparable,A robot at a park,A robot with alien head at a park,core/data/partedit_subset/cases/synth_0008/source.png,core/data/partedit_subset/cases/synth_0008/gt_mask.png,core/results/gt_mask_diagnostic_v1/endpoint_gt/synth_0008/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_auto::synth_0008::seed_000,synth_0008,0,rk2_auto,head,alien,small,comparable,A robot at a park,A robot with alien head at a park,core/data/partedit_subset/cases/synth_0008/source.png,core/data/partedit_subset/cases/synth_0008/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0008/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_gt::synth_0008::seed_000,synth_0008,0,rk2_gt,head,alien,small,comparable,A robot at a park,A robot with alien head at a park,core/data/partedit_subset/cases/synth_0008/source.png,core/data/partedit_subset/cases/synth_0008/gt_mask.png,core/results/gt_mask_diagnostic_v1/rk2_gt/synth_0008/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_auto::synth_0009::seed_000,synth_0009,0,endpoint_auto,head,bear,large,comparable,A alien at a museum,A alien with bear head at a museum,core/data/partedit_subset/cases/synth_0009/source.png,core/data/partedit_subset/cases/synth_0009/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0009/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_gt::synth_0009::seed_000,synth_0009,0,endpoint_gt,head,bear,large,comparable,A alien at a museum,A alien with bear head at a museum,core/data/partedit_subset/cases/synth_0009/source.png,core/data/partedit_subset/cases/synth_0009/gt_mask.png,core/results/gt_mask_diagnostic_v1/endpoint_gt/synth_0009/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_auto::synth_0009::seed_000,synth_0009,0,rk2_auto,head,bear,large,comparable,A alien at a museum,A alien with bear head at a museum,core/data/partedit_subset/cases/synth_0009/source.png,core/data/partedit_subset/cases/synth_0009/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0009/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_gt::synth_0009::seed_000,synth_0009,0,rk2_gt,head,bear,large,comparable,A alien at a museum,A alien with bear head at a museum,core/data/partedit_subset/cases/synth_0009/source.png,core/data/partedit_subset/cases/synth_0009/gt_mask.png,core/results/gt_mask_diagnostic_v1/rk2_gt/synth_0009/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_auto::synth_0010::seed_000,synth_0010,0,endpoint_auto,torso,batman,medium,comparable,A robot at a school,A robot with batman torso at a school,core/data/partedit_subset/cases/synth_0010/source.png,core/data/partedit_subset/cases/synth_0010/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0010/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_gt::synth_0010::seed_000,synth_0010,0,endpoint_gt,torso,batman,medium,comparable,A robot at a school,A robot with batman torso at a school,core/data/partedit_subset/cases/synth_0010/source.png,core/data/partedit_subset/cases/synth_0010/gt_mask.png,core/results/gt_mask_diagnostic_v1/endpoint_gt/synth_0010/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_auto::synth_0010::seed_000,synth_0010,0,rk2_auto,torso,batman,medium,comparable,A robot at a school,A robot with batman torso at a school,core/data/partedit_subset/cases/synth_0010/source.png,core/data/partedit_subset/cases/synth_0010/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0010/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_gt::synth_0010::seed_000,synth_0010,0,rk2_gt,torso,batman,medium,comparable,A robot at a school,A robot with batman torso at a school,core/data/partedit_subset/cases/synth_0010/source.png,core/data/partedit_subset/cases/synth_0010/gt_mask.png,core/results/gt_mask_diagnostic_v1/rk2_gt/synth_0010/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_auto::synth_0011::seed_000,synth_0011,0,endpoint_auto,torso,spiderman,small,comparable,A robot at a museum,A robot with spiderman torso at a museum,core/data/partedit_subset/cases/synth_0011/source.png,core/data/partedit_subset/cases/synth_0011/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0011/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_gt::synth_0011::seed_000,synth_0011,0,endpoint_gt,torso,spiderman,small,comparable,A robot at a museum,A robot with spiderman torso at a museum,core/data/partedit_subset/cases/synth_0011/source.png,core/data/partedit_subset/cases/synth_0011/gt_mask.png,core/results/gt_mask_diagnostic_v1/endpoint_gt/synth_0011/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_auto::synth_0011::seed_000,synth_0011,0,rk2_auto,torso,spiderman,small,comparable,A robot at a museum,A robot with spiderman torso at a museum,core/data/partedit_subset/cases/synth_0011/source.png,core/data/partedit_subset/cases/synth_0011/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0011/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_gt::synth_0011::seed_000,synth_0011,0,rk2_gt,torso,spiderman,small,comparable,A robot at a museum,A robot with spiderman torso at a museum,core/data/partedit_subset/cases/synth_0011/source.png,core/data/partedit_subset/cases/synth_0011/gt_mask.png,core/results/gt_mask_diagnostic_v1/rk2_gt/synth_0011/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_auto::synth_0012::seed_000,synth_0012,0,endpoint_auto,torso,spiderman,large,comparable,A robot at a museum,A robot with spiderman torso at a museum,core/data/partedit_subset/cases/synth_0012/source.png,core/data/partedit_subset/cases/synth_0012/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0012/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_gt::synth_0012::seed_000,synth_0012,0,endpoint_gt,torso,spiderman,large,comparable,A robot at a museum,A robot with spiderman torso at a museum,core/data/partedit_subset/cases/synth_0012/source.png,core/data/partedit_subset/cases/synth_0012/gt_mask.png,core/results/gt_mask_diagnostic_v1/endpoint_gt/synth_0012/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_auto::synth_0012::seed_000,synth_0012,0,rk2_auto,torso,spiderman,large,comparable,A robot at a museum,A robot with spiderman torso at a museum,core/data/partedit_subset/cases/synth_0012/source.png,core/data/partedit_subset/cases/synth_0012/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0012/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_gt::synth_0012::seed_000,synth_0012,0,rk2_gt,torso,spiderman,large,comparable,A robot at a museum,A robot with spiderman torso at a museum,core/data/partedit_subset/cases/synth_0012/source.png,core/data/partedit_subset/cases/synth_0012/gt_mask.png,core/results/gt_mask_diagnostic_v1/rk2_gt/synth_0012/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_auto::synth_0013::seed_000,synth_0013,0,endpoint_auto,torso,uniform,small,comparable,A alien at a school,A alien with uniform torso at a school,core/data/partedit_subset/cases/synth_0013/source.png,core/data/partedit_subset/cases/synth_0013/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0013/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_gt::synth_0013::seed_000,synth_0013,0,endpoint_gt,torso,uniform,small,comparable,A alien at a school,A alien with uniform torso at a school,core/data/partedit_subset/cases/synth_0013/source.png,core/data/partedit_subset/cases/synth_0013/gt_mask.png,core/results/gt_mask_diagnostic_v1/endpoint_gt/synth_0013/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_auto::synth_0013::seed_000,synth_0013,0,rk2_auto,torso,uniform,small,comparable,A alien at a school,A alien with uniform torso at a school,core/data/partedit_subset/cases/synth_0013/source.png,core/data/partedit_subset/cases/synth_0013/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0013/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_gt::synth_0013::seed_000,synth_0013,0,rk2_gt,torso,uniform,small,comparable,A alien at a school,A alien with uniform torso at a school,core/data/partedit_subset/cases/synth_0013/source.png,core/data/partedit_subset/cases/synth_0013/gt_mask.png,core/results/gt_mask_diagnostic_v1/rk2_gt/synth_0013/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_auto::synth_0014::seed_000,synth_0014,0,endpoint_auto,torso,robot,medium,comparable,A alien at a gym,A alien with robot torso at a gym,core/data/partedit_subset/cases/synth_0014/source.png,core/data/partedit_subset/cases/synth_0014/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0014/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_gt::synth_0014::seed_000,synth_0014,0,endpoint_gt,torso,robot,medium,comparable,A alien at a gym,A alien with robot torso at a gym,core/data/partedit_subset/cases/synth_0014/source.png,core/data/partedit_subset/cases/synth_0014/gt_mask.png,core/results/gt_mask_diagnostic_v1/endpoint_gt/synth_0014/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_auto::synth_0014::seed_000,synth_0014,0,rk2_auto,torso,robot,medium,comparable,A alien at a gym,A alien with robot torso at a gym,core/data/partedit_subset/cases/synth_0014/source.png,core/data/partedit_subset/cases/synth_0014/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0014/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_gt::synth_0014::seed_000,synth_0014,0,rk2_gt,torso,robot,medium,comparable,A alien at a gym,A alien with robot torso at a gym,core/data/partedit_subset/cases/synth_0014/source.png,core/data/partedit_subset/cases/synth_0014/gt_mask.png,core/results/gt_mask_diagnostic_v1/rk2_gt/synth_0014/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_auto::synth_0015::seed_000,synth_0015,0,endpoint_auto,torso,formal-suit,large,comparable,A robot at a restaurant,A robot with formal-suit torso at a restaurant,core/data/partedit_subset/cases/synth_0015/source.png,core/data/partedit_subset/cases/synth_0015/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0015/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_gt::synth_0015::seed_000,synth_0015,0,endpoint_gt,torso,formal-suit,large,comparable,A robot at a restaurant,A robot with formal-suit torso at a restaurant,core/data/partedit_subset/cases/synth_0015/source.png,core/data/partedit_subset/cases/synth_0015/gt_mask.png,core/results/gt_mask_diagnostic_v1/endpoint_gt/synth_0015/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_auto::synth_0015::seed_000,synth_0015,0,rk2_auto,torso,formal-suit,large,comparable,A robot at a restaurant,A robot with formal-suit torso at a restaurant,core/data/partedit_subset/cases/synth_0015/source.png,core/data/partedit_subset/cases/synth_0015/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0015/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_gt::synth_0015::seed_000,synth_0015,0,rk2_gt,torso,formal-suit,large,comparable,A robot at a restaurant,A robot with formal-suit torso at a restaurant,core/data/partedit_subset/cases/synth_0015/source.png,core/data/partedit_subset/cases/synth_0015/gt_mask.png,core/results/gt_mask_diagnostic_v1/rk2_gt/synth_0015/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_auto::synth_0016::seed_000,synth_0016,0,endpoint_auto,torso,armor,large,comparable,A girl at a stadium,A girl with armor torso at a stadium,core/data/partedit_subset/cases/synth_0016/source.png,core/data/partedit_subset/cases/synth_0016/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0016/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_gt::synth_0016::seed_000,synth_0016,0,endpoint_gt,torso,armor,large,comparable,A girl at a stadium,A girl with armor torso at a stadium,core/data/partedit_subset/cases/synth_0016/source.png,core/data/partedit_subset/cases/synth_0016/gt_mask.png,core/results/gt_mask_diagnostic_v1/endpoint_gt/synth_0016/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_auto::synth_0016::seed_000,synth_0016,0,rk2_auto,torso,armor,large,comparable,A girl at a stadium,A girl with armor torso at a stadium,core/data/partedit_subset/cases/synth_0016/source.png,core/data/partedit_subset/cases/synth_0016/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0016/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_gt::synth_0016::seed_000,synth_0016,0,rk2_gt,torso,armor,large,comparable,A girl at a stadium,A girl with armor torso at a stadium,core/data/partedit_subset/cases/synth_0016/source.png,core/data/partedit_subset/cases/synth_0016/gt_mask.png,core/results/gt_mask_diagnostic_v1/rk2_gt/synth_0016/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_auto::synth_0017::seed_000,synth_0017,0,endpoint_auto,torso,robotic-parts,large,comparable,A dinosaur at a museum,A dinosaur with robotic-parts torso at a museum,core/data/partedit_subset/cases/synth_0017/source.png,core/data/partedit_subset/cases/synth_0017/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0017/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_gt::synth_0017::seed_000,synth_0017,0,endpoint_gt,torso,robotic-parts,large,comparable,A dinosaur at a museum,A dinosaur with robotic-parts torso at a museum,core/data/partedit_subset/cases/synth_0017/source.png,core/data/partedit_subset/cases/synth_0017/gt_mask.png,core/results/gt_mask_diagnostic_v1/endpoint_gt/synth_0017/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_auto::synth_0017::seed_000,synth_0017,0,rk2_auto,torso,robotic-parts,large,comparable,A dinosaur at a museum,A dinosaur with robotic-parts torso at a museum,core/data/partedit_subset/cases/synth_0017/source.png,core/data/partedit_subset/cases/synth_0017/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0017/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_gt::synth_0017::seed_000,synth_0017,0,rk2_gt,torso,robotic-parts,large,comparable,A dinosaur at a museum,A dinosaur with robotic-parts torso at a museum,core/data/partedit_subset/cases/synth_0017/source.png,core/data/partedit_subset/cases/synth_0017/gt_mask.png,core/results/gt_mask_diagnostic_v1/rk2_gt/synth_0017/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_auto::synth_0018::seed_000,synth_0018,0,endpoint_auto,torso,armor,medium,comparable,A boy at a restaurant,A boy with armor torso at a restaurant,core/data/partedit_subset/cases/synth_0018/source.png,core/data/partedit_subset/cases/synth_0018/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0018/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_gt::synth_0018::seed_000,synth_0018,0,endpoint_gt,torso,armor,medium,comparable,A boy at a restaurant,A boy with armor torso at a restaurant,core/data/partedit_subset/cases/synth_0018/source.png,core/data/partedit_subset/cases/synth_0018/gt_mask.png,core/results/gt_mask_diagnostic_v1/endpoint_gt/synth_0018/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_auto::synth_0018::seed_000,synth_0018,0,rk2_auto,torso,armor,medium,comparable,A boy at a restaurant,A boy with armor torso at a restaurant,core/data/partedit_subset/cases/synth_0018/source.png,core/data/partedit_subset/cases/synth_0018/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0018/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_gt::synth_0018::seed_000,synth_0018,0,rk2_gt,torso,armor,medium,comparable,A boy at a restaurant,A boy with armor torso at a restaurant,core/data/partedit_subset/cases/synth_0018/source.png,core/data/partedit_subset/cases/synth_0018/gt_mask.png,core/results/gt_mask_diagnostic_v1/rk2_gt/synth_0018/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_auto::synth_0019::seed_000,synth_0019,0,endpoint_auto,hair,Wavy,medium,comparable,A Portrait of girl at a forest,A Portrait of girl with Wavy hair at a forest,core/data/partedit_subset/cases/synth_0019/source.png,core/data/partedit_subset/cases/synth_0019/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0019/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_gt::synth_0019::seed_000,synth_0019,0,endpoint_gt,hair,Wavy,medium,comparable,A Portrait of girl at a forest,A Portrait of girl with Wavy hair at a forest,core/data/partedit_subset/cases/synth_0019/source.png,core/data/partedit_subset/cases/synth_0019/gt_mask.png,core/results/gt_mask_diagnostic_v1/endpoint_gt/synth_0019/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_auto::synth_0019::seed_000,synth_0019,0,rk2_auto,hair,Wavy,medium,comparable,A Portrait of girl at a forest,A Portrait of girl with Wavy hair at a forest,core/data/partedit_subset/cases/synth_0019/source.png,core/data/partedit_subset/cases/synth_0019/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0019/seed_000/img_0.jpg
