case_uid,dataset_id,dataset_split,dataset_index,id,class_name,subject,part,normalized_part,part_size,mask_area_ratio,edit,source_prompt,target_prompt,reference_target_prompt,source_image,gt_mask,partedit_reference,follow_your_shape_output_dir,follow_your_shape_vis_path,follow_your_shape_command,oracle_mask_arg
real_0001,Aleksandar/PartEdit-Bench,real,1,1,animal_head,dog,head,head,medium,0.056949615478515625,cat,a dog running in the grass,a dog with cat head running in the grass,a cat running in the grass,core/data/partedit_subset/cases/real_0001/source.png,core/data/partedit_subset/cases/real_0001/gt_mask.png,core/data/partedit_subset/cases/real_0001/partedit_reference.png,core/results/follow_your_shape/real_0001,core/results/follow_your_shape/real_0001/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0001/source.png --source_prompt 'a dog running in the grass' --target_prompt 'a dog with cat head running in the grass' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/real_0001 --vis_path ../../../results/follow_your_shape/real_0001/tdm,--mask_path ../../../data/partedit_subset/cases/real_0001/gt_mask.png
real_0012,Aleksandar/PartEdit-Bench,real,12,12,humanoid_torso,statue,torso,torso,medium,0.060882568359375,uniform,a statue of an angel with wings on the ground,a statue with uniform torso of an angel with wings on the ground,a uniform of an angel with wings on the ground,core/data/partedit_subset/cases/real_0012/source.png,core/data/partedit_subset/cases/real_0012/gt_mask.png,core/data/partedit_subset/cases/real_0012/partedit_reference.png,core/results/follow_your_shape/real_0012,core/results/follow_your_shape/real_0012/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0012/source.png --source_prompt 'a statue of an angel with wings on the ground' --target_prompt 'a statue with uniform torso of an angel with wings on the ground' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/real_0012 --vis_path ../../../results/follow_your_shape/real_0012/tdm,--mask_path ../../../data/partedit_subset/cases/real_0012/gt_mask.png
synth_0022,Aleksandar/PartEdit-Bench,synth,22,22,humanoid_hair,boy,hair,hair,medium,0.03475761413574219,Kinky,A Portrait of boy at a park,A Portrait of boy with Kinky hair at a park,A Portrait of Kinky at a park,core/data/partedit_subset/cases/synth_0022/source.png,core/data/partedit_subset/cases/synth_0022/gt_mask.png,core/data/partedit_subset/cases/synth_0022/partedit_reference.png,core/results/follow_your_shape/synth_0022,core/results/follow_your_shape/synth_0022/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/synth_0022/source.png --source_prompt 'A Portrait of boy at a park' --target_prompt 'A Portrait of boy with Kinky hair at a park' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/synth_0022 --vis_path ../../../results/follow_your_shape/synth_0022/tdm,--mask_path ../../../data/partedit_subset/cases/synth_0022/gt_mask.png
synth_0014,Aleksandar/PartEdit-Bench,synth,14,14,humanoid_torso,alien,torso,torso,medium,0.036312103271484375,robot,A alien at a gym,A alien with robot torso at a gym,A robot at a gym,core/data/partedit_subset/cases/synth_0014/source.png,core/data/partedit_subset/cases/synth_0014/gt_mask.png,core/data/partedit_subset/cases/synth_0014/partedit_reference.png,core/results/follow_your_shape/synth_0014,core/results/follow_your_shape/synth_0014/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/synth_0014/source.png --source_prompt 'A alien at a gym' --target_prompt 'A alien with robot torso at a gym' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/synth_0014 --vis_path ../../../results/follow_your_shape/synth_0014/tdm,--mask_path ../../../data/partedit_subset/cases/synth_0014/gt_mask.png
real_0000,Aleksandar/PartEdit-Bench,real,0,0,humanoid_torso,robot,torso,torso,large,0.09088516235351562,armored,a robot standing in a warehouse with boxes,a robot with armored torso standing in a warehouse with boxes,a armored standing in a warehouse with boxes,core/data/partedit_subset/cases/real_0000/source.png,core/data/partedit_subset/cases/real_0000/gt_mask.png,core/data/partedit_subset/cases/real_0000/partedit_reference.png,core/results/follow_your_shape/real_0000,core/results/follow_your_shape/real_0000/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0000/source.png --source_prompt 'a robot standing in a warehouse with boxes' --target_prompt 'a robot with armored torso standing in a warehouse with boxes' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/real_0000 --vis_path ../../../results/follow_your_shape/real_0000/tdm,--mask_path ../../../data/partedit_subset/cases/real_0000/gt_mask.png
real_0011,Aleksandar/PartEdit-Bench,real,11,11,human_hair,man,hair,hair,large,0.0968170166015625,curly_hair,a man with a smile on his face,a man with curly_hair hair with a smile on his face,a curly_hair with a smile on his face,core/data/partedit_subset/cases/real_0011/source.png,core/data/partedit_subset/cases/real_0011/gt_mask.png,core/data/partedit_subset/cases/real_0011/partedit_reference.png,core/results/follow_your_shape/real_0011,core/results/follow_your_shape/real_0011/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0011/source.png --source_prompt 'a man with a smile on his face' --target_prompt 'a man with curly_hair hair with a smile on his face' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/real_0011 --vis_path ../../../results/follow_your_shape/real_0011/tdm,--mask_path ../../../data/partedit_subset/cases/real_0011/gt_mask.png
real_0005,Aleksandar/PartEdit-Bench,real,5,5,animal_head,bear,head,head,large,0.09930038452148438,dog,a brown bear standing on a rock,a brown bear with dog head standing on a rock,a brown dog standing on a rock,core/data/partedit_subset/cases/real_0005/source.png,core/data/partedit_subset/cases/real_0005/gt_mask.png,core/data/partedit_subset/cases/real_0005/partedit_reference.png,core/results/follow_your_shape/real_0005,core/results/follow_your_shape/real_0005/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0005/source.png --source_prompt 'a brown bear standing on a rock' --target_prompt 'a brown bear with dog head standing on a rock' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/real_0005 --vis_path ../../../results/follow_your_shape/real_0005/tdm,--mask_path ../../../data/partedit_subset/cases/real_0005/gt_mask.png
real_0009,Aleksandar/PartEdit-Bench,real,9,9,carbody,ferrari,carbody,car body,large,0.3527565002441406,rusted,ferrari 812 superfast by kimberly kim,ferrari with rusted carbody 812 superfast by kimberly kim,rusted 812 superfast by kimberly kim,core/data/partedit_subset/cases/real_0009/source.png,core/data/partedit_subset/cases/real_0009/gt_mask.png,core/data/partedit_subset/cases/real_0009/partedit_reference.png,core/results/follow_your_shape/real_0009,core/results/follow_your_shape/real_0009/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0009/source.png --source_prompt 'ferrari 812 superfast by kimberly kim' --target_prompt 'ferrari with rusted carbody 812 superfast by kimberly kim' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/real_0009 --vis_path ../../../results/follow_your_shape/real_0009/tdm,--mask_path ../../../data/partedit_subset/cases/real_0009/gt_mask.png
synth_0053,Aleksandar/PartEdit-Bench,synth,53,53,carhood,BMW,car hood,car hood,large,0.06665420532226562,Destroyed,A full front facing view of BMW car at a parking lot,A full front facing view of BMW car with Destroyed car hood at a parking lot,A full front facing view of Destroyed car at a parking lot,core/data/partedit_subset/cases/synth_0053/source.png,core/data/partedit_subset/cases/synth_0053/gt_mask.png,core/data/partedit_subset/cases/synth_0053/partedit_reference.png,core/results/follow_your_shape/synth_0053,core/results/follow_your_shape/synth_0053/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/synth_0053/source.png --source_prompt 'A full front facing view of BMW car at a parking lot' --target_prompt 'A full front facing view of BMW car with Destroyed car hood at a parking lot' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/synth_0053 --vis_path ../../../results/follow_your_shape/synth_0053/tdm,--mask_path ../../../data/partedit_subset/cases/synth_0053/gt_mask.png
synth_0017,Aleksandar/PartEdit-Bench,synth,17,17,humanoid_torso,dinosaur,torso,torso,large,0.06752300262451172,robotic-parts,A dinosaur at a museum,A dinosaur with robotic-parts torso at a museum,A robotic-parts at a museum,core/data/partedit_subset/cases/synth_0017/source.png,core/data/partedit_subset/cases/synth_0017/gt_mask.png,core/data/partedit_subset/cases/synth_0017/partedit_reference.png,core/results/follow_your_shape/synth_0017,core/results/follow_your_shape/synth_0017/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/synth_0017/source.png --source_prompt 'A dinosaur at a museum' --target_prompt 'A dinosaur with robotic-parts torso at a museum' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/synth_0017 --vis_path ../../../results/follow_your_shape/synth_0017/tdm,--mask_path ../../../data/partedit_subset/cases/synth_0017/gt_mask.png
